date,t,ticker,trade_grade,news_type,size,bp,npl,atr_pct,atr_pct_move,avg_daily_vol,breakout_duration,breakout_open_close_pct,breakout_open_high_pct,breakout_open_post_high_pct,breakout_open_to_day_after_open_pct,breaks_ath,breaks_fifty_two_wk,close_at_highs,gap_pct,move_together,pct_change_120,pct_change_15,pct_change_3,pct_change_30,pct_change_90,percent_of_premarket_vol,percent_of_vol_in_first_10_min,percent_of_vol_in_first_15_min,percent_of_vol_in_first_30_min,percent_of_vol_in_first_5_min,percent_of_vol_on_breakout_day,premarket_vol,spy_open_close_pct,time_of_breakout,time_of_high,vol_in_first_10_min,vol_in_first_15_min,vol_in_first_30_min,vol_in_first_5_min,vol_on_breakout_day,vol_one_day_before,vol_three_day_before,vol_two_day_before
1/17/2024,0.0,DWAC,B,pos_news,,,,0.032881713,2.344853627,1341308.55,0 days 02:10:00,0.077102804,0.341121495,0.098130841,0.129906542,False,True,False,-0.042505593,True,0.362189688,0.226361032,-0.042505593,0.200224341,0.429525718,0.173329246,0.175222919,0.203675731,0.546350055,0.106356587,11.61435078,232488.0,0.000996143,2024-01-17 09:53:00-05:00,2024-01-17 12:03:00-05:00,235028.0,273192.0,732824.0,142657,15578428.0,,,
1/16/2024,1.0,AMD,A,upgrade,,,,0.030107117,1.851153931,60182232.84,0 days 01:25:00,0.055732908,0.062217345,0.069965416,0.053804203,False,True,True,0.025927948,False,0.468789684,0.085005051,0.025927948,0.0825054,0.471664872,0.064668937,0.160168318,0.197966168,0.301824262,0.110259801,1.83302408,3891921.0,-0.000694357,2024-01-16 09:30:00-05:00,2024-01-16 17:13:00-05:00,9639287.0,11914046.0,18164458.0,6635681,110315482.0,,,
1/8/2024,1.0,NVDA,B,upgrade,,,,0.024122007,2.29501289,38041905.21,0 days 06:30:00,0.055360317,0.055804653,0.064388431,0.058349491,True,True,True,0.008452655,True,0.095931648,0.00472818,0.008452655,0.061874021,0.081095244,0.036006609,0.147699621,0.221565901,0.386936378,0.069778288,1.628915972,1369760.0,0.013171659,2024-01-08 09:30:00-05:00,2024-01-08 19:59:00-05:00,5618775.0,8428789.0,14719797.0,2654499,61967067.0,,,
7/26/2023,1.0,XPEV,A,partnership,,,,0.060663543,1.70076784,24140590.91,0 days 00:38:00,0.103174603,0.237528345,0.12244898,0.176303855,False,False,False,0.1484375,True,0.72097561,0.178356713,0.101811368,0.736220472,0.81294964,0.282660024,0.659111455,0.958720153,1.779365185,0.419254567,5.737312045,6823580.0,0.00228838,2023-07-26 09:31:00-04:00,2023-07-26 10:09:00-04:00,15911340.0,23144071.0,42954927.0,10121053,138502103.0,,,
6/8/2023,1.0,CVNA,A,earnings_prelim,,,,0.13556505,2.120459138,29523905.14,0 days 03:26:00,0.287460149,0.38629118,0.365568544,0.354410202,False,False,False,0.211848036,True,0.343326196,0.63226366,0.254666667,0.588185654,1.574555404,0.296075535,0.237696672,0.344913247,0.593759901,0.144894552,5.936339118,8741306.0,0.005883456,2023-06-08 11:46:00-04:00,2023-06-08 15:12:00-04:00,7017734.0,10183186.0,17530111.0,4277853,175263913.0,,,
6/25/2021,1.0,SPCE,A,pos_news,,,,0.085124031,1.990279619,35532534.27,0 days 04:57:00,0.169420623,0.198282786,0.245764484,0.19535662,False,False,False,0.187531048,True,0.13186553,0.350183564,0.212836124,0.770740741,0.63676823,0.406261425,0.383245138,0.480922184,0.716511854,0.240482425,7.275701756,14435498.0,0.001667058,2021-06-25 10:23:00-04:00,2021-06-25 19:44:00-04:00,13617671.0,17088384.0,25459482.0,8544950,258524122.0,,,
6/7/2021,1.0,SPCE,B,pos_news,,,,0.101887076,1.011125963,36868451.5,0 days 06:30:00,0.103020668,0.106200318,0.103656598,0.121780604,False,False,True,0.00223072,False,-0.440888889,0.169579769,0.00223072,0.752089136,0.041390728,0.015730794,0.028733428,0.044009904,0.08966848,0.021357664,0.781948897,579970.0,-0.000946544,2021-06-07 09:30:00-04:00,2021-06-07 16:00:00-04:00,1059357.0,1622577.0,3305938.0,787424,28829245.0,,,
5/26/2021,1.0,SPCE,B,upgrade,,,,0.088263994,0.504026905,26141779.35,0 days 00:47:00,0.044487427,0.073500967,0.050290135,0.059961315,False,False,False,0.010160219,True,-0.385255648,0.426600442,-0.038676088,0.115185505,-0.388020833,0.037874775,0.127126962,0.177599732,0.357460251,0.065046643,1.468331229,990114.0,0.000477475,2021-05-26 09:31:00-04:00,2021-05-26 10:18:00-04:00,3323325.0,4642773.0,9344647.0,1700435,38384791.0,,,
2/1/2021,1.0,SPCE,C,pos_news,,,,0.102759369,1.365748354,25619683.6,0 days 04:56:00,0.140343439,0.213481026,0.267754929,0.242103032,False,False,False,0.065025965,True,1.245121371,0.490363349,0.065025965,1.032313658,1.556639566,0.061457785,0.091018337,0.111328034,0.174516129,0.066340944,2.257057382,1574529.0,0.006716258,2021-02-01 10:15:00-05:00,2021-02-01 17:21:00-05:00,2331861.0,2852189.0,4471048.0,1699634,57825096.0,,,
1/22/2021,0.0,PLTR,B,pos_news,,,,0.068651992,3.792288534,48056587.45,0 days 06:23:00,0.260348162,0.263056093,0.285106383,0.333075435,False,False,True,-0.005003849,True,1.721052632,0.034,-0.02892562,-0.098989195,1.59798995,0.020946556,0.09025593,0.139050032,0.23126176,0.036996156,3.242860246,1006620.0,0.001648136,2021-01-22 09:31:00-05:00,2021-01-22 16:14:00-05:00,4337392.0,6682270.0,11113651.0,1777909,155840797.0,,,
1/7/2021,0.0,TSLA,B,upgrade,,,,0.050803096,0.972254565,165312200.1,0 days 06:26:00,0.049393542,0.050615331,0.073415377,0.100780448,True,True,True,0.02863846,True,1.123048521,0.203798693,0.065582161,0.196574568,0.791773781,0.028651914,0.06623983,0.096589931,0.146340343,0.03460153,0.922055323,4736511.0,0.007976602,2021-01-07 09:34:00-05:00,2021-01-07 17:26:00-05:00,10950252.0,15967494.0,24191844.0,5720055,152426994.0,,,
12/30/2020,1.0,TSLA,B,upgrade,,,,0.053768006,0.630461561,164970449.0,0 days 04:32:00,0.033898661,0.036607143,0.035342411,0.041651786,True,True,True,0.009024008,False,0.414587938,0.06119243,0.012520906,0.183932347,0.499464142,0.022613741,0.041131657,0.049829015,0.078362998,0.02870465,0.77174409,3730599.0,-0.000940001,2020-12-30 10:12:00-05:00,2020-12-30 14:44:00-05:00,6785508.0,8220315.0,12927579.0,4735419,127314969.0,,,
12/7/2020,1.0,TSLA,B,upgrade,,,,0.046274003,1.316098393,127969102.8,0 days 05:50:00,0.060901141,0.07251541,0.073613407,0.034029971,True,True,True,0.009815204,True,1.132146856,0.159183099,0.009815204,0.435977069,0.83192423,0.052219074,0.095775384,0.132756264,0.197814851,0.069750806,1.300830289,6682428.0,0.000189692,2020-12-07 09:30:00-05:00,2020-12-07 19:58:00-05:00,12256290.0,16988700.0,25314189.0,8925948,166466085.0,,,
11/23/2020,1.0,TSLA,C,upgrade,,,,0.042549986,0.856524183,102989984.9,0 days 05:58:00,0.036445092,0.044687199,0.057279455,0.073287006,True,True,True,0.028369524,True,0.635164653,0.195223615,0.028369524,0.198010897,0.244229898,0.065205806,0.143817848,0.191777686,0.310482015,0.094727716,1.44615981,6715545.0,0.000503807,2020-11-23 09:30:00-05:00,2020-11-23 18:47:00-05:00,14811798.0,19751181.0,31976538.0,9756006,148939977.0,,,
11/18/2020,1.0,TSLA,C,upgrade,,,,0.039697866,2.151294656,97730932.7,0 days 05:18:00,0.085401807,0.106278354,0.09715624,0.097356976,False,False,True,0.015262565,False,0.429359786,0.057678698,0.098654709,0.040665692,0.119850617,0.053210093,0.096745501,0.136910614,0.202688693,0.052175466,2.376952277,5200272.0,-0.012828683,2020-11-18 10:13:00-05:00,2020-11-18 15:31:00-05:00,9455028.0,13380402.0,19808955.0,5099157,232301763.0,,,
11/17/2020,1.0,PLTR,A,pos_news,,,,0.079909526,1.198408721,41636349.45,0 days 02:44:00,0.095764273,0.151012891,0.101903008,0.122160835,True,True,False,0.02259887,True,0.714736842,0.545540797,0.02259887,0.702194357,0.714736842,0.051694734,0.151374414,0.218856267,0.465391881,0.102624175,2.791583617,2152380.0,0.001805706,2020-11-17 09:40:00-05:00,2020-11-17 12:24:00-05:00,6302678.0,9112376.0,19377219.0,4272896,116231351.0,,,
8/31/2020,1.0,TSLA,B,upgrade,,,,0.051566416,2.342667716,222469206.6,0 days 06:02:00,0.120802978,0.124896004,0.1650665,0.129394555,True,True,True,0.004359583,False,1.920492256,0.211048735,0.004359583,0.49700303,1.521720858,0.067091362,0.074391945,0.099079942,0.177170097,0.055714475,1.584043205,14925762.0,-0.00296846,2020-08-31 09:49:00-04:00,2020-08-31 16:42:00-04:00,16549917.0,22042236.0,39414891.0,12394755,352400835.0,,,
8/26/2020,1.0,TSLA,C,upgrade,,,,0.052482709,0.861781963,199017423.9,0 days 04:59:00,0.045228652,0.051456566,0.054975741,0.058475985,True,True,True,0.018118561,True,1.678383296,0.498846397,0.022738308,0.338009548,1.556431692,0.031894217,0.05897152,0.085332805,0.191080254,0.042673525,1.060935952,6347505.0,0.008150598,2020-08-26 09:31:00-04:00,2020-08-26 17:36:00-04:00,11736360.0,16982715.0,38028300.0,8492775,211144740.0,,,
8/17/2020,1.0,TSLA,A,upgrade,,,,0.056148121,1.684784714,200438667.1,0 days 06:17:00,0.094597496,0.100691413,0.098389982,0.132372987,True,True,True,0.015926788,False,1.246906484,0.129292929,0.015926788,0.020694163,1.075470647,0.035409784,0.105828383,0.140434505,0.233228951,0.068013299,1.496980021,7097490.0,-8.88e-05,2020-08-17 09:30:00-04:00,2020-08-17 15:47:00-04:00,21212100.0,28148505.0,46748100.0,13632495,300052680.0,,,
8/12/2020,0.0,TSLA,C,split,,,,0.065399461,0.881661762,215061901.3,0 days 04:09:00,0.057660204,0.078231633,0.069244898,0.095918367,False,False,True,0.069565407,True,1.070743355,-0.004395897,0.036255185,-0.018075428,0.82988425,0.06564231,0.102803006,0.125267167,0.191396313,0.072227856,1.514807007,14117160.0,0.005962318,2020-08-12 10:15:00-04:00,2020-08-12 14:24:00-04:00,22109010.0,26940195.0,41162055.0,15533460,325777275.0,,,
7/10/2020,1.0,TSLA,B,upgrade,,,,0.049415777,2.154833465,205221928.6,0 days 05:28:00,0.10648277,0.109537568,0.11245698,0.18839499,True,True,True,0.00123397,True,1.490412095,0.415850727,0.004418432,0.36188461,1.144557075,0.027021747,0.051364906,0.063942728,0.094016342,0.033549266,1.691910204,5545455.0,0.010435557,2020-07-10 10:31:00-04:00,2020-07-10 16:06:00-04:00,10541205.0,13122450.0,19294215.0,6885045,347217075.0,,,
7/6/2020,1.0,TSLA,B,upgrade,,,,0.043143757,1.722728575,190277844.0,0 days 06:14:00,0.074324983,0.079189122,0.125519458,0.10050909,True,True,True,0.056286324,True,1.099821628,0.283983526,0.056286324,0.343997916,1.340620901,0.06081872,0.107736663,0.158394637,0.260669419,0.07393236,1.609260062,11572455.0,0.002149382,2020-07-06 09:44:00-04:00,2020-07-06 18:07:00-04:00,20499900.0,30138990.0,49599615.0,14067690,306206535.0,,,
6/30/2020,1.0,TSLA,A,pos_news,,,,0.041928186,1.737162347,174447892.5,0 days 02:56:00,0.072836066,0.08066617,0.072836066,0.076005961,True,True,True,-0.002823599,True,0.353512981,0.015743264,-0.002823599,0.120699878,1.090082233,0.019632567,0.100099146,0.137786531,0.219749516,0.051137591,1.419507261,3424860.0,0.014375473,2020-06-30 09:32:00-04:00,2020-06-30 12:28:00-04:00,17462085.0,24036570.0,38334840.0,8920845,247630050.0,,,
1/9/2020,0.0,BYND,C,partnership,,,,0.038384994,2.282440711,4903439.0,0 days 05:51:00,0.087611473,0.089411906,0.130151844,0.106573873,False,False,True,0.018409426,True,-0.453395692,0.086125654,0.112481566,0.111587408,-0.368445087,0.072456698,0.138934939,0.163818699,0.310636678,0.098342204,3.443038243,355287.0,0.00150233,2020-01-09 10:09:00-05:00,2020-01-09 17:34:00-05:00,681259.0,803275.0,1523188.0,482215,16882728.0,,,
1/7/2019,1.0,ROKU,B,earnings_prelim,,,,0.079572953,1.825519973,11259459.32,0 days 02:57:00,0.145262015,0.166983437,0.151235406,0.194135216,False,False,True,0.091906315,True,-0.463979042,0.355539198,0.06,-0.009946237,-0.428992248,0.107573549,0.245127845,0.338505864,0.528268794,0.16009854,3.741170406,1211220.0,0.006688037,2019-01-07 09:32:00-05:00,,2760007.0,3811393.0,5948021.0,1802623,42123556.0,,,
9/4/2018,1.0,AMD,B,upgrade,,,,0.044231333,2.15318166,105335940.4,0 days 05:57:00,0.095238095,0.097189696,0.116315379,0.147931304,True,True,True,0.017878427,False,1.210526316,0.282282282,0.002,0.318579516,0.634971283,0.039723052,0.120621945,0.149135945,0.266627211,0.08218401,1.816947134,4184265.0,-0.000103505,2018-09-04 09:30:00-04:00,,12705826.0,15709375.0,28085428.0,8656930,191389835.0,,,
9/4/2018,1.0,CGC,B,upgrade,,,,0.065526834,1.735301602,1359418.857,0 days 06:24:00,0.11370882,0.115579171,0.155579171,0.183634431,True,True,True,0.029090114,False,0.64912281,0.44083384,0.005,0.84313725,0.64912281,0.055343649,0.113294883,0.14950668,0.297650645,0.073874214,1.708930686,75235.2,-0.000103505,2018-09-04 09:31:00-04:00,,154015.2,203242.2,404631.9,100426,2323152.6,,,
12/15/2017,1.0,ROKU,B,upgrade,,,,0.102328401,0.994123254,11386333.82,0 days 06:17:00,0.101727043,0.119839933,0.129949452,0.148904802,True,True,True,0.028819068,True,1.252277818,0.0733882,-0.01,0.27063599,1.252277818,0.013482654,0.030767586,0.045640854,0.127939074,0.018124974,1.424750078,153518.0,0.003993219,2017-12-15 09:41:00-05:00,,350330.0,519682.0,1456757.0,206377,16222680.0,,,
2/12/2024,1.0,SMCI,C,upgrade,1000.0,1040000.0,48000.0,0.082378834,0.186070089,12074591.55,0 days 02:05:00,0.015328237,0.063913626,0.021856201,-0.014894791,True,True,False,0.028434803,True,1.610099763,0.535981601,0.028434803,1.333180105,1.590737401,0.053748899,0.119555597,0.150620333,0.235529292,0.077672441,,648996.0,-0.000379113,2024-02-12 09:33:00-05:00,2024-02-12 11:38:00-05:00,1443585.0,1818679.0,2843920.0,937863,16724359.0,,,
3/4/2024,0.0,SMCI,A,pos_news,500.0,460000.0,26000.0,0.100635196,0.337987859,16348447.4,0 days 02:21:00,0.034013474,0.111645813,0.040587103,-0.003849856,True,True,False,0.147457702,False,3.113385328,0.319247813,0.147457702,0.566292304,2.951171281,0.094396854,0.127116169,0.174423108,0.266617734,0.075983423,,1543242.0,0.000527313,2024-03-04 09:40:00-05:00,2024-03-04 12:01:00-05:00,2078152.0,2851547.0,4358786.0,1242211,19989853.0,,,
3/25/2024,0.0,SMCI,A,upgrade,,,,0.088521408,0.813385794,9593679.619,0 days 02:26:00,0.072002056,0.102790953,0.092675405,0.117450527,False,False,False,1.03e-05,True,2.350036161,-0.099488993,1.03e-05,0.110014378,2.304963816,0.016050359,0.049498526,0.074792366,0.135806078,0.026123657,,153982.0,-5.77e-05,2024-03-25 09:30:00-04:00,2024-03-25 11:56:00-04:00,474873.0,717534.0,1302880.0,250622,6858193.0,,,
6/12/2024,1.0,AAPL,A,pos_news,,,,0.016476252,1.668286003,62493825.0,0 days 05:44:00,0.0274871,0.061870087,0.034045426,0.035540339,True,True,False,0.001062032,True,0.12067661,0.091478499,0.073788318,0.113216663,0.19867052,0.111845594,0.250913334,0.315747068,0.563676075,0.145216155,,6989659.0,-0.000498495,2024-06-12 09:30:00-04:00,2024-06-12 15:14:00-04:00,15680534.0,19732242.0,35226274.0,9075113,166511651.0,,,
6/11/2024,1.0,AAPL,B,pos_news,,,,0.013832578,5.039798217,57591211.38,0 days 06:30:00,0.0697134,0.06976504,0.073534728,0.070849471,True,True,True,0.002744408,False,0.034731499,0.019264172,0.002744408,0.039564097,0.131595863,0.050464401,0.171227202,0.21903349,0.360525391,0.094994616,,2906306.0,0.005392552,2024-06-11 09:30:00-04:00,2024-06-11 16:32:00-04:00,9861182.0,12614404.0,20763094.0,5470855,160265159.0,,,
6/3/2024,0.0,NVAX,B,pos_news,,,,0.129220925,1.66123766,30448618.25,0 days 06:10:00,0.214666667,0.222,0.248666667,0.198,False,True,True,-0.001996008,True,2.989361702,0.014198783,-0.001996008,2.151260504,1.692998205,0.007384572,0.052353509,0.087767201,0.156786885,0.013517723,,224850.0,-0.002306151,2024-06-03 09:33:00-04:00,2024-06-03 16:39:00-04:00,1594092.0,2672390.0,4773944.0,411596,27916321.0,,,
6/18/2025,0.0,CRCL,A,pos_news,2000.0,,,0.194620325,1.555010922,39202352.1,0 days 06:14:00,0.302636731,0.311186529,0.409737632,0.51089936,True,True,True,0.027287965,True,0.840922744,0.840922744,0.014298954,0.840922744,0.840922744,0.041475113,0.06996519,0.094796633,0.175392665,0.036872813,1.596068594,1625922.0,-0.001671011,2025-06-18 09:46:00-04:00,,2742800.0,3716251.0,6875805.0,1445501,62569643.0,31234204.0,34013580.0,43781546.0
6/17/2025,,CRWV,A,ATH_break,,,,0.122038455,0.780369286,34448121.05,0 days 03:39:00,0.095235062,0.117212384,0.096509109,0.104153395,True,True,True,-0.009589905,True,2.9245,0.305990017,0.066512671,0.812911422,2.9245,0.020914639,0.067285644,0.090186719,0.152384305,0.044746795,0.927721427,720470.0,-0.004465104,2025-06-17 09:30:00-04:00,,2317864.0,3106763.0,5249353.0,1541443,31958260.0,19757072.0,15249046.0,16515242.0
